op,phase,batch,vocab,top_k,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,round,git_commit
phase6,6,4,151936,50,bfloat16,8,32,18.425,18.422,18.426,18.424,0.002,5,5000,500,0,6ddf1e0-dirty
phase7,7,4,151936,50,bfloat16,8,32,22.509,22.508,22.510,22.509,0.001,5,5000,500,0,6ddf1e0-dirty
full,7,4,151936,50,bfloat16,8,32,22.519,22.518,22.521,22.520,0.001,5,5000,500,0,6ddf1e0-dirty
noop,0,4,151936,100,bfloat16,8,32,2.540,2.536,2.583,2.550,0.024,5,5000,500,0,6ddf1e0-dirty
phase1,1,4,151936,100,bfloat16,8,32,4.187,4.177,4.198,4.187,0.009,5,5000,500,0,6ddf1e0-dirty
phase2,2,4,151936,100,bfloat16,8,32,4.315,4.304,4.329,4.316,0.011,5,5000,500,0,6ddf1e0-dirty
phase3,3,4,151936,100,bfloat16,8,32,7.786,7.773,7.861,7.807,0.041,5,5000,500,0,6ddf1e0-dirty
phase4,4,4,151936,100,bfloat16,8,32,8.172,8.170,8.181,8.174,0.005,5,5000,500,0,6ddf1e0-dirty
phase5,5,4,151936,100,bfloat16,8,32,12.283,12.283,12.284,12.283,0.000,5,5000,500,0,6ddf1e0-dirty
phase6,6,4,151936,100,bfloat16,8,32,20.484,20.478,20.486,20.483,0.004,5,5000,500,0,6ddf1e0-dirty
phase7,7,4,151936,100,bfloat16,8,32,26.612,26.612,26.614,26.613,0.001,5,4445,444,0,6ddf1e0-dirty
full,7,4,151936,100,bfloat16,8,32,26.815,26.811,26.823,26.817,0.006,5,4418,441,0,6ddf1e0-dirty
noop,0,8,151936,20,bfloat16,8,64,2.519,2.515,2.538,2.523,0.011,5,5000,500,0,6ddf1e0-dirty
phase1,1,8,151936,20,bfloat16,8,64,4.201,4.182,4.213,4.200,0.014,5,5000,500,0,6ddf1e0-dirty
phase2,2,8,151936,20,bfloat16,8,64,4.317,4.313,4.333,4.321,0.009,5,5000,500,0,6ddf1e0-dirty
phase3,3,8,151936,20,bfloat16,8,64,8.087,8.020,8.129,8.076,0.047,5,5000,500,0,6ddf1e0-dirty
phase4,4,8,151936,20,bfloat16,8,64,8.171,8.171,8.172,8.171,0.001,5,5000,500,0,6ddf1e0-dirty
phase5,5,8,151936,20,bfloat16,8,64,10.263,10.261,10.266,10.264,0.002,5,5000,500,0,6ddf1e0-dirty
phase6,6,8,151936,20,bfloat16,8,64,14.494,14.485,14.500,14.493,0.007,5,5000,500,0,6ddf1e0-dirty
phase7,7,8,151936,20,bfloat16,8,64,16.816,16.790,16.830,16.813,0.018,5,5000,500,0,6ddf1e0-dirty
full,7,8,151936,20,bfloat16,8,64,16.817,16.807,16.832,16.819,0.012,5,5000,500,0,6ddf1e0-dirty
noop,0,8,151936,50,bfloat16,8,64,2.552,2.549,2.555,2.552,0.003,5,5000,500,0,6ddf1e0-dirty
phase1,1,8,151936,50,bfloat16,8,64,4.203,4.146,4.207,4.185,0.030,5,5000,500,0,6ddf1e0-dirty
phase2,2,8,151936,50,bfloat16,8,64,4.264,4.250,4.265,4.260,0.007,5,5000,500,0,6ddf1e0-dirty
phase3,3,8,151936,50,bfloat16,8,64,6.592,6.531,6.614,6.582,0.039,5,5000,500,0,6ddf1e0-dirty
phase4,4,8,151936,50,bfloat16,8,64,7.801,7.797,7.894,7.831,0.048,5,5000,500,0,6ddf1e0-dirty
phase5,5,8,151936,50,bfloat16,8,64,10.258,10.258,10.260,10.259,0.001,5,5000,500,0,6ddf1e0-dirty
phase6,6,8,151936,50,bfloat16,8,64,16.392,16.392,16.393,16.392,0.000,5,5000,500,0,6ddf1e0-dirty
phase7,7,8,151936,50,bfloat16,8,64,20.470,20.469,20.471,20.470,0.001,5,5000,500,0,6ddf1e0-dirty
full,7,8,151936,50,bfloat16,8,64,20.085,20.069,20.103,20.086,0.015,5,5000,500,0,6ddf1e0-dirty
noop,0,8,151936,100,bfloat16,8,64,2.533,2.522,2.550,2.536,0.012,5,5000,500,0,6ddf1e0-dirty
phase1,1,8,151936,100,bfloat16,8,64,4.161,4.143,4.206,4.171,0.030,5,5000,500,0,6ddf1e0-dirty
phase2,2,8,151936,100,bfloat16,8,64,4.253,4.244,4.264,4.253,0.009,5,5000,500,0,6ddf1e0-dirty
phase3,3,8,151936,100,bfloat16,8,64,6.195,6.190,6.589,6.351,0.216,5,5000,500,0,6ddf1e0-dirty
phase4,4,8,151936,100,bfloat16,8,64,7.771,7.662,7.816,7.752,0.070,5,5000,500,0,6ddf1e0-dirty
phase5,5,8,151936,100,bfloat16,8,64,12.106,12.102,12.121,12.109,0.009,5,5000,500,0,6ddf1e0-dirty
phase6,6,8,151936,100,bfloat16,8,64,20.486,20.483,20.489,20.486,0.003,5,5000,500,0,6ddf1e0-dirty
phase7,7,8,151936,100,bfloat16,8,64,26.258,26.243,26.310,26.269,0.030,5,4449,444,0,6ddf1e0-dirty
full,7,8,151936,100,bfloat16,8,64,25.843,25.824,25.845,25.839,0.011,5,4500,450,0,6ddf1e0-dirty
noop,0,16,151936,20,bfloat16,8,128,2.535,2.528,2.546,2.537,0.008,5,5000,500,0,6ddf1e0-dirty
phase1,1,16,151936,20,bfloat16,8,128,6.166,5.858,6.171,6.051,0.162,5,5000,500,0,6ddf1e0-dirty
phase2,2,16,151936,20,bfloat16,8,128,6.177,6.172,6.181,6.176,0.005,5,5000,500,0,6ddf1e0-dirty
phase3,3,16,151936,20,bfloat16,8,128,9.781,9.718,9.800,9.762,0.039,5,5000,500,0,6ddf1e0-dirty
phase4,4,16,151936,20,bfloat16,8,128,10.225,10.225,10.228,10.226,0.002,5,5000,500,0,6ddf1e0-dirty
phase5,5,16,151936,20,bfloat16,8,128,14.330,14.319,14.332,14.327,0.006,5,5000,500,0,6ddf1e0-dirty
phase6,6,16,151936,20,bfloat16,8,128,17.233,17.214,17.250,17.235,0.017,5,5000,500,0,6ddf1e0-dirty
phase7,7,16,151936,20,bfloat16,8,128,18.898,18.867,18.983,18.913,0.052,5,5000,500,0,6ddf1e0-dirty
full,7,16,151936,20,bfloat16,8,128,18.956,18.940,18.985,18.960,0.021,5,5000,500,0,6ddf1e0-dirty
noop,0,16,151936,50,bfloat16,8,128,2.536,2.532,2.540,2.536,0.003,5,5000,500,0,6ddf1e0-dirty
phase1,1,16,151936,50,bfloat16,8,128,6.018,5.871,6.174,6.025,0.143,5,5000,500,0,6ddf1e0-dirty
phase2,2,16,151936,50,bfloat16,8,128,6.176,6.173,6.180,6.176,0.003,5,5000,500,0,6ddf1e0-dirty
phase3,3,16,151936,50,bfloat16,8,128,9.900,9.868,9.931,9.899,0.028,5,5000,500,0,6ddf1e0-dirty
phase4,4,16,151936,50,bfloat16,8,128,10.226,10.225,10.228,10.226,0.001,5,5000,500,0,6ddf1e0-dirty
phase5,5,16,151936,50,bfloat16,8,128,14.342,14.333,14.343,14.340,0.005,5,5000,500,0,6ddf1e0-dirty
phase6,6,16,151936,50,bfloat16,8,128,20.434,20.432,20.438,20.434,0.003,5,5000,500,0,6ddf1e0-dirty
phase7,7,16,151936,50,bfloat16,8,128,24.477,24.467,24.490,24.478,0.011,5,4892,489,0,6ddf1e0-dirty
