op,batch,vocab,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,logits_bytes,dram_floor_us,floor_frac_of_latency,git_commit,round
scan_split,32,151936,bfloat16,8,256,10.383,9.881,10.392,10.231,0.254,5,5000,500,9723904,17.585,1.693613,df3e3c0-dirty,1
scan_split,32,151936,bfloat16,35,1120,10.499,10.494,10.507,10.500,0.006,5,5000,500,9723904,17.585,1.674921,df3e3c0-dirty,1
scan_split,32,151936,bfloat16,70,2240,12.445,12.443,12.448,12.445,0.002,5,5000,500,9723904,17.585,1.413023,df3e3c0-dirty,1
scan_split,32,151936,bfloat16,140,4480,16.491,16.486,16.493,16.490,0.003,5,5000,500,9723904,17.585,1.066342,df3e3c0-dirty,1
scan_split,32,151936,bfloat16,280,8960,24.788,24.786,24.804,24.791,0.009,5,4763,476,9723904,17.585,0.709409,df3e3c0-dirty,1
noop,32,151936,bfloat16,0,32,2.511,2.507,2.515,2.511,0.003,5,5000,500,9723904,17.585,7.002046,df3e3c0-dirty,1
torch_argmax,1,151936,bfloat16,0,0,8.415,8.403,8.419,8.413,0.007,5,5000,500,303872,0.550,0.065307,df3e3c0-dirty,2
scan_split,1,151936,bfloat16,1,1,20.634,20.632,20.637,20.634,0.002,5,5000,500,303872,0.550,0.026632,df3e3c0-dirty,2
scan_split,1,151936,bfloat16,8,8,6.372,6.370,6.380,6.374,0.005,5,5000,500,303872,0.550,0.086238,df3e3c0-dirty,2
scan_split,1,151936,bfloat16,35,35,6.143,6.142,6.145,6.144,0.001,5,5000,500,303872,0.550,0.089451,df3e3c0-dirty,2
scan_split,1,151936,bfloat16,70,70,4.515,4.509,4.524,4.516,0.007,5,5000,500,303872,0.550,0.121716,df3e3c0-dirty,2
scan_split,1,151936,bfloat16,140,140,4.527,4.525,4.534,4.528,0.004,5,5000,500,303872,0.550,0.121382,df3e3c0-dirty,2
scan_split,1,151936,bfloat16,280,280,4.490,4.473,4.497,4.486,0.011,5,5000,500,303872,0.550,0.122389,df3e3c0-dirty,2
noop,1,151936,bfloat16,0,1,2.507,2.505,2.509,2.507,0.002,5,5000,500,303872,0.550,0.219223,df3e3c0-dirty,2
scan_rowblock,1,151936,bfloat16,0,1,10.228,10.226,10.230,10.228,0.002,5,5000,500,303872,0.550,0.053728,df3e3c0-dirty,2
torch_argmax,4,151936,bfloat16,0,0,8.715,8.708,8.725,8.716,0.008,5,5000,500,1215488,2.198,0.252222,df3e3c0-dirty,2
scan_split,4,151936,bfloat16,1,4,20.654,20.650,20.654,20.653,0.002,5,5000,500,1215488,2.198,0.106428,df3e3c0-dirty,2
scan_split,4,151936,bfloat16,8,32,6.378,6.375,6.385,6.380,0.004,5,5000,500,1215488,2.198,0.344614,df3e3c0-dirty,2
scan_split,4,151936,bfloat16,35,140,6.145,6.143,6.146,6.145,0.001,5,5000,500,1215488,2.198,0.357731,df3e3c0-dirty,2
scan_split,4,151936,bfloat16,70,280,6.145,6.144,6.145,6.144,0.000,5,5000,500,1215488,2.198,0.357733,df3e3c0-dirty,2
scan_split,4,151936,bfloat16,140,560,6.168,6.155,6.177,6.166,0.009,5,5000,500,1215488,2.198,0.356393,df3e3c0-dirty,2
scan_split,4,151936,bfloat16,280,1120,6.369,6.365,6.390,6.373,0.013,5,5000,500,1215488,2.198,0.345107,df3e3c0-dirty,2
noop,4,151936,bfloat16,0,4,2.523,2.517,2.533,2.525,0.007,5,5000,500,1215488,2.198,0.871277,df3e3c0-dirty,2
scan_rowblock,4,151936,bfloat16,0,4,10.229,10.227,10.229,10.229,0.001,5,5000,500,1215488,2.198,0.214885,df3e3c0-dirty,2
torch_argmax,8,151936,bfloat16,0,0,10.311,8.994,10.320,9.827,0.680,5,5000,500,2430976,4.396,0.426383,df3e3c0-dirty,2
scan_split,8,151936,bfloat16,1,8,20.651,20.647,20.655,20.651,0.003,5,5000,500,2430976,4.396,0.212880,df3e3c0-dirty,2
scan_split,8,151936,bfloat16,8,64,6.379,6.375,6.384,6.379,0.004,5,5000,500,2430976,4.396,0.689130,df3e3c0-dirty,2
scan_split,8,151936,bfloat16,35,280,6.181,6.149,6.187,6.173,0.018,5,5000,500,2430976,4.396,0.711198,df3e3c0-dirty,2
scan_split,8,151936,bfloat16,70,560,6.213,6.204,6.216,6.211,0.005,5,5000,500,2430976,4.396,0.707630,df3e3c0-dirty,2
scan_split,8,151936,bfloat16,140,1120,6.594,6.446,6.652,6.560,0.096,5,5000,500,2430976,4.396,0.666697,df3e3c0-dirty,2
scan_split,8,151936,bfloat16,280,2240,9.469,9.426,9.471,9.455,0.022,5,5000,500,2430976,4.396,0.464287,df3e3c0-dirty,2
noop,8,151936,bfloat16,0,8,2.518,2.515,2.524,2.519,0.004,5,5000,500,2430976,4.396,1.746253,df3e3c0-dirty,2
scan_rowblock,8,151936,bfloat16,0,8,10.232,10.231,10.234,10.232,0.001,5,5000,500,2430976,4.396,0.429635,df3e3c0-dirty,2
torch_argmax,16,151936,bfloat16,0,0,12.473,12.463,12.554,12.490,0.047,5,5000,500,4861952,8.792,0.704948,df3e3c0-dirty,2
scan_split,16,151936,bfloat16,1,16,20.678,20.634,20.683,20.669,0.026,5,5000,500,4861952,8.792,0.425202,df3e3c0-dirty,2
scan_split,16,151936,bfloat16,8,128,8.337,8.333,8.351,8.341,0.009,5,5000,500,4861952,8.792,1.054642,df3e3c0-dirty,2
scan_split,16,151936,bfloat16,35,560,8.344,8.335,8.351,8.342,0.007,5,5000,500,4861952,8.792,1.053813,df3e3c0-dirty,2
scan_split,16,151936,bfloat16,70,1120,8.346,8.341,8.350,8.345,0.004,5,5000,500,4861952,8.792,1.053472,df3e3c0-dirty,2
scan_split,16,151936,bfloat16,140,2240,10.494,10.483,10.498,10.491,0.007,5,5000,500,4861952,8.792,0.837846,df3e3c0-dirty,2
scan_split,16,151936,bfloat16,280,4480,14.500,14.497,14.503,14.500,0.003,5,5000,500,4861952,8.792,0.606391,df3e3c0-dirty,2
noop,16,151936,bfloat16,0,16,2.511,2.504,2.522,2.513,0.008,5,5000,500,4861952,8.792,3.501692,df3e3c0-dirty,2
scan_rowblock,16,151936,bfloat16,0,16,10.225,10.224,10.226,10.225,0.001,5,5000,500,4861952,8.792,0.859901,df3e3c0-dirty,2
torch_argmax,32,151936,bfloat16,0,0,15.686,15.204,15.743,15.557,0.257,5,5000,500,9723904,17.585,1.121054,df3e3c0-dirty,2
scan_split,32,151936,bfloat16,1,32,20.613,20.612,20.618,20.614,0.003,5,5000,500,9723904,17.585,0.853112,df3e3c0-dirty,2
scan_split,32,151936,bfloat16,8,256,10.384,9.539,10.403,10.119,0.425,5,5000,500,9723904,17.585,1.693448,df3e3c0-dirty,2
scan_split,32,151936,bfloat16,35,1120,10.508,10.502,10.519,10.509,0.007,5,5000,500,9723904,17.585,1.673484,df3e3c0-dirty,2
scan_split,32,151936,bfloat16,70,2240,12.442,12.441,12.445,12.443,0.002,5,5000,500,9723904,17.585,1.413368,df3e3c0-dirty,2
scan_split,32,151936,bfloat16,140,4480,16.525,16.519,16.527,16.523,0.003,5,5000,500,9723904,17.585,1.064171,df3e3c0-dirty,2
scan_split,32,151936,bfloat16,280,8960,24.801,24.797,24.802,24.800,0.003,5,4764,476,9723904,17.585,0.709029,df3e3c0-dirty,2
noop,32,151936,bfloat16,0,32,2.513,2.507,2.521,2.515,0.006,5,5000,500,9723904,17.585,6.997713,df3e3c0-dirty,2
scan_rowblock,32,151936,bfloat16,0,32,10.224,10.223,10.225,10.224,0.001,5,5000,500,9723904,17.585,1.719917,df3e3c0-dirty,2
