op,phase,batch,vocab,top_k,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,round,git_commit
phase1,1,4,151936,100,bfloat16,8,32,4.188,4.174,4.192,4.184,0.009,5,5000,500,0,df3e3c0
phase2,2,4,151936,100,bfloat16,8,32,4.300,4.273,4.318,4.296,0.021,5,5000,500,0,df3e3c0
phase3,3,4,151936,100,bfloat16,8,32,8.049,8.028,8.053,8.044,0.012,5,5000,500,0,df3e3c0
phase4,4,4,151936,100,bfloat16,8,32,8.184,8.183,8.193,8.186,0.005,5,5000,500,0,df3e3c0
phase5,5,4,151936,100,bfloat16,8,32,12.291,12.285,12.292,12.290,0.004,5,5000,500,0,df3e3c0
phase6,6,4,151936,100,bfloat16,8,32,24.574,24.572,24.577,24.574,0.002,5,4807,480,0,df3e3c0
phase7,7,4,151936,100,bfloat16,8,32,30.725,30.722,30.727,30.725,0.002,5,3802,380,0,df3e3c0
full,7,4,151936,100,bfloat16,8,32,31.274,31.253,31.282,31.271,0.013,5,3728,372,0,df3e3c0
noop,0,8,151936,20,bfloat16,8,64,2.527,2.510,2.533,2.523,0.012,5,5000,500,0,df3e3c0
phase1,1,8,151936,20,bfloat16,8,64,4.192,4.181,4.202,4.193,0.010,5,5000,500,0,df3e3c0
phase2,2,8,151936,20,bfloat16,8,64,4.290,4.286,4.349,4.311,0.032,5,5000,500,0,df3e3c0
phase3,3,8,151936,20,bfloat16,8,64,8.127,8.099,8.153,8.126,0.025,5,5000,500,0,df3e3c0
phase4,4,8,151936,20,bfloat16,8,64,8.184,8.172,8.184,8.181,0.006,5,5000,500,0,df3e3c0
phase5,5,8,151936,20,bfloat16,8,64,10.664,10.325,10.666,10.569,0.177,5,5000,500,0,df3e3c0
phase6,6,8,151936,20,bfloat16,8,64,16.530,16.523,16.542,16.532,0.008,5,5000,500,0,df3e3c0
phase7,7,8,151936,20,bfloat16,8,64,20.679,20.673,20.683,20.679,0.005,5,5000,500,0,df3e3c0
full,7,8,151936,20,bfloat16,8,64,20.683,20.673,20.694,20.683,0.009,5,5000,500,0,df3e3c0
noop,0,8,151936,50,bfloat16,8,64,2.512,2.504,2.514,2.510,0.004,5,5000,500,0,df3e3c0
phase1,1,8,151936,50,bfloat16,8,64,4.207,4.185,4.214,4.202,0.013,5,5000,500,0,df3e3c0
phase2,2,8,151936,50,bfloat16,8,64,4.293,4.293,4.415,4.327,0.064,5,5000,500,0,df3e3c0
phase3,3,8,151936,50,bfloat16,8,64,8.173,8.120,8.174,8.156,0.027,5,5000,500,0,df3e3c0
phase4,4,8,151936,50,bfloat16,8,64,8.182,8.172,8.183,8.179,0.006,5,5000,500,0,df3e3c0
phase5,5,8,151936,50,bfloat16,8,64,12.281,12.274,12.303,12.285,0.014,5,5000,500,0,df3e3c0
phase6,6,8,151936,50,bfloat16,8,64,20.491,20.489,20.493,20.491,0.002,5,5000,500,0,df3e3c0
phase7,7,8,151936,50,bfloat16,8,64,26.602,26.600,26.604,26.602,0.002,5,4405,440,0,df3e3c0
full,7,8,151936,50,bfloat16,8,64,25.849,25.832,25.882,25.853,0.022,5,4618,461,0,df3e3c0
noop,0,8,151936,100,bfloat16,8,64,2.517,2.507,2.531,2.519,0.011,5,5000,500,0,df3e3c0
phase1,1,8,151936,100,bfloat16,8,64,4.189,4.184,4.195,4.190,0.005,5,5000,500,0,df3e3c0
phase2,2,8,151936,100,bfloat16,8,64,4.279,4.237,4.376,4.293,0.064,5,5000,500,0,df3e3c0
phase3,3,8,151936,100,bfloat16,8,64,6.587,6.529,6.588,6.573,0.032,5,5000,500,0,df3e3c0
phase4,4,8,151936,100,bfloat16,8,64,8.153,8.136,8.156,8.149,0.010,5,5000,500,0,df3e3c0
phase5,5,8,151936,100,bfloat16,8,64,12.278,12.269,12.280,12.275,0.005,5,5000,500,0,df3e3c0
phase6,6,8,151936,100,bfloat16,8,64,24.583,24.563,24.586,24.579,0.012,5,4855,485,0,df3e3c0
phase7,7,8,151936,100,bfloat16,8,64,32.774,32.769,32.775,32.773,0.003,5,3560,356,0,df3e3c0
full,7,8,151936,100,bfloat16,8,64,32.402,32.382,32.417,32.402,0.016,5,3564,356,0,df3e3c0
noop,0,16,151936,20,bfloat16,8,128,2.518,2.505,2.521,2.514,0.007,5,5000,500,0,df3e3c0
phase1,1,16,151936,20,bfloat16,8,128,6.128,6.007,6.172,6.107,0.076,5,5000,500,0,df3e3c0
phase2,2,16,151936,20,bfloat16,8,128,6.168,6.167,6.175,6.170,0.004,5,5000,500,0,df3e3c0
phase3,3,16,151936,20,bfloat16,8,128,9.672,9.589,9.693,9.655,0.049,5,5000,500,0,df3e3c0
phase4,4,16,151936,20,bfloat16,8,128,10.228,10.226,10.237,10.231,0.006,5,5000,500,0,df3e3c0
phase5,5,16,151936,20,bfloat16,8,128,14.331,14.321,14.333,14.328,0.006,5,5000,500,0,df3e3c0
phase6,6,16,151936,20,bfloat16,8,128,19.212,19.184,19.220,19.206,0.017,5,5000,500,0,df3e3c0
phase7,7,16,151936,20,bfloat16,8,128,22.910,22.896,22.925,22.909,0.013,5,5000,500,0,df3e3c0
full,7,16,151936,20,bfloat16,8,128,22.920,22.916,22.934,22.924,0.009,5,5000,500,0,df3e3c0
noop,0,16,151936,50,bfloat16,8,128,2.524,2.516,2.535,2.525,0.009,5,5000,500,0,df3e3c0
phase1,1,16,151936,50,bfloat16,8,128,5.941,5.772,6.163,5.969,0.184,5,5000,500,0,df3e3c0
phase2,2,16,151936,50,bfloat16,8,128,6.176,6.169,6.178,6.174,0.004,5,5000,500,0,df3e3c0
phase3,3,16,151936,50,bfloat16,8,128,9.859,9.798,9.889,9.850,0.040,5,5000,500,0,df3e3c0
phase4,4,16,151936,50,bfloat16,8,128,10.228,10.225,10.240,10.231,0.007,5,5000,500,0,df3e3c0
phase5,5,16,151936,50,bfloat16,8,128,14.339,14.332,14.342,14.338,0.004,5,5000,500,0,df3e3c0
phase6,6,16,151936,50,bfloat16,8,128,22.501,22.486,22.503,22.497,0.008,5,5000,500,0,df3e3c0
phase7,7,16,151936,50,bfloat16,8,128,26.545,26.534,26.555,26.545,0.009,5,4419,441,0,df3e3c0
full,7,16,151936,50,bfloat16,8,128,26.546,26.540,26.548,26.545,0.003,5,4425,442,0,df3e3c0
noop,0,16,151936,100,bfloat16,8,128,2.518,2.514,2.527,2.520,0.006,5,5000,500,0,df3e3c0
phase1,1,16,151936,100,bfloat16,8,128,6.023,5.916,6.170,6.049,0.118,5,5000,500,0,df3e3c0
phase2,2,16,151936,100,bfloat16,8,128,6.173,6.169,6.176,6.173,0.003,5,5000,500,0,df3e3c0
phase3,3,16,151936,100,bfloat16,8,128,9.993,9.953,10.014,9.987,0.028,5,5000,500,0,df3e3c0
phase4,4,16,151936,100,bfloat16,8,128,10.229,10.224,10.238,10.231,0.006,5,5000,500,0,df3e3c0
phase5,5,16,151936,100,bfloat16,8,128,14.584,14.554,14.593,14.578,0.018,5,5000,500,0,df3e3c0
phase6,6,16,151936,100,bfloat16,8,128,26.609,26.608,26.610,26.609,0.001,5,4439,443,0,df3e3c0
phase7,7,16,151936,100,bfloat16,8,128,32.768,32.766,32.770,32.768,0.002,5,3602,360,0,df3e3c0
full,7,16,151936,100,bfloat16,8,128,32.799,32.791,32.800,32.796,0.005,5,3592,359,0,df3e3c0
noop,0,32,151936,20,bfloat16,4,128,2.515,2.514,2.527,2.519,0.006,5,5000,500,0,df3e3c0
phase1,1,32,151936,20,bfloat16,4,128,8.200,8.169,8.208,8.191,0.019,5,5000,500,0,df3e3c0
phase2,2,32,151936,20,bfloat16,4,128,8.212,8.207,8.217,8.212,0.004,5,5000,500,0,df3e3c0
phase3,3,32,151936,20,bfloat16,4,128,16.184,16.181,16.196,16.186,0.007,5,5000,500,0,df3e3c0
phase4,4,32,151936,20,bfloat16,4,128,16.368,16.366,16.373,16.370,0.003,5,5000,500,0,df3e3c0
phase5,5,32,151936,20,bfloat16,4,128,23.339,23.169,23.361,23.280,0.099,5,5000,500,0,df3e3c0
phase6,6,32,151936,20,bfloat16,4,128,28.656,28.655,28.657,28.656,0.001,5,4134,413,0,df3e3c0
phase7,7,32,151936,20,bfloat16,4,128,30.719,30.718,30.722,30.719,0.002,5,3890,389,0,df3e3c0
full,7,32,151936,20,bfloat16,4,128,30.719,30.716,30.721,30.718,0.002,5,3853,385,0,df3e3c0
noop,0,32,151936,50,bfloat16,4,128,2.525,2.518,2.530,2.524,0.005,5,5000,500,0,df3e3c0
phase1,1,32,151936,50,bfloat16,4,128,8.197,8.180,8.208,8.196,0.013,5,5000,500,0,df3e3c0
phase2,2,32,151936,50,bfloat16,4,128,8.219,8.212,8.225,8.219,0.006,5,5000,500,0,df3e3c0
phase3,3,32,151936,50,bfloat16,4,128,16.338,16.321,16.348,16.337,0.013,5,5000,500,0,df3e3c0
phase4,4,32,151936,50,bfloat16,4,128,16.380,16.372,16.383,16.379,0.005,5,5000,500,0,df3e3c0
phase5,5,32,151936,50,bfloat16,4,128,24.354,24.325,24.378,24.352,0.023,5,5000,500,0,df3e3c0
phase6,6,32,151936,50,bfloat16,4,128,28.709,28.703,28.710,28.707,0.003,5,4142,414,0,df3e3c0
phase7,7,32,151936,50,bfloat16,4,128,34.796,34.795,34.797,34.796,0.001,5,3409,340,0,df3e3c0
full,7,32,151936,50,bfloat16,4,128,34.585,34.580,34.616,34.592,0.017,5,3400,340,0,df3e3c0
noop,0,32,151936,100,bfloat16,4,128,2.531,2.516,2.533,2.526,0.008,5,5000,500,0,df3e3c0
phase1,1,32,151936,100,bfloat16,4,128,8.195,8.175,8.206,8.193,0.014,5,5000,500,0,df3e3c0
phase2,2,32,151936,100,bfloat16,4,128,8.208,8.207,8.239,8.216,0.017,5,5000,500,0,df3e3c0
phase3,3,32,151936,100,bfloat16,4,128,16.372,16.366,16.374,16.371,0.004,5,5000,500,0,df3e3c0
phase4,4,32,151936,100,bfloat16,4,128,16.382,16.377,16.386,16.382,0.004,5,5000,500,0,df3e3c0
